paper_id,author,year,genus,species,genus_species,introduced,invasive,cultivated,plant_status,sample_country,sample_continent,exo_NA,exo_SA,exo_AU,exo_AS,exo_EU,exo_AF,nat_NA,nat_SA,nat_AU,nat_AS,nat_EU,nat_AF,num_nodules,num_plants,Achromobacter_sp,Achromobacter_xylosoxidans,Agrobacterium_sp,Agrobacterium_tumefaciens,Agrobacterium_radiobacter,Azorhizobium_sp,Azorhizobium_doebereinerae,Bacillus_sp,Bacillus_simplex,Bradyrhizobium_sp,Bradyrhizobium_betae,Bradyrhizobium_canariense,Bradyrhizobium_cytisi,Bradyrhizobium_elkanii,Bradyrhizobium_iriomatense,Bradyrhizobium_japonicum,Bradyrhizobium_liaoingense,Bradyrhizobium_pachyrhizi,Bradyrhizobium_retamae,Bradyrhizobium_rifense,Bradyrhizobium_yuanmingense,Burkholderia_sp,Burkholderia_caledonica,Burkholderia_caribensis,Burkholderia_diazotrophica,Burkholderia_fungorum,Burkholderia_graminis,Burkholderia_kururiensis,Burkholderia_mimosarum,Burkholderia_nodosa,Burkholderia_phenoliruptrix,Burkholderia_phymatum,Burkholderia_phytofirmans,Burkholderia_sabiae,Burkholderia_sacchari,Burkholderia_terricola,Burkholderia_terrae,Burkholderia_tuberum,Burkholderia_xenovorans,Chronobacter_sp,Chronobacter_dublinensis,Cupriavidus_sp,Cupriavidus_necator,Cupriavidus_taiwanensis,Enterobacter_sp,Enterobacter_cancerogenus,Enterobacter_cloacae,Enterobacter_sacchari,Mesorhizobium_sp,Mesorhizobium_amorphae,Mesorhizobium_australicum,Mesorhizobium_caraganae,Mesorhizobium_ciceri,Mesorhizobium_huakuii,Mesorhizobium_loti,Mesorhizobium_mediterraneum,Mesorhizobium_opportunistum,Mesorhizobium_plurifarium,Mesorhizobium_tamadayense,Mesorhizobium_tianshanense,Methylobacterium_sp,Novosphingobium_sp,Novosphingobium_subterraneum,Ochrobactrum_sp,Ochrobactrum_cytisi,Ochrobactrum_lupini,Paenibacillus_sp,Paenibacillus_sonchi,Paenibacillus_prosopidis,Pantoea_sp,Pantoea_agglomerans,Phyllobacterium_sp,Phyllobacterium_myrsinacearum,Phyllobacterium_trifolii,Planomicrobium_sp,Planomicrobium_glaciei,Pleomorphomonas_sp,Pleomorphomonas_oryzae,Rahnella_sp,Rahnella_aquatilis,Rhizobium_sp,Rhizobium_etli,Rhizobium_galegae,Rhizobium_gallicum,Rhizobium_giardinii,Rhizobium_huautlense,Rhizobium_leguminosarum,Rhizobium_leucaenae,Rhizobium_loessense,Rhizobium_lusitanum,Rhizobium_mesoamericanum,Rhizobium_miluonense,Rhizobium_mongolense,Rhizobium_multihospitium,Rhizobium_phaseoli,Rhizobium_pisi,Rhizobium_radiobacter,Rhizobium_sullae,Rhizobium_tropici,Rhodococcus_sp,Rhodococcus_erythropolis,Serratia_sp,Serratia_liquefaciens,Serratia_proteamaculans,Sinorhizobium_sp,Sinorhizobium_fredii,Sinorhizobium_kostiense,Sinorhizobium_kummerowiae,Sinorhizobium_medicae,Sinorhizobium_meliloti,Sinorhizobium_terangae,Ensifer_sp,Ensifer_maghrebium,Ensifer_xericitae,Escherichia_coli,Rhizobium_vallis,Ensifer_arboris,Sinorhizobium_saheli,Ensifer_saheli,Mesorhizobium_septentrionale,Mesorhizobium_temperatum,Ralstonia_taiwanesis,Mesorhizobium_alhagi,Rhizobium_mesosinicum,Bradyrhizobium_triomotense,Herbaspirillum_sp,Rhizobium_multihospitium,Labrys_neptuniae,Bradyrhizobium_ingae,Rhizobium_alamii,Pseudomonas_brassicacearum,Azorhizobium_caulinodans,E_kummerowiae,R. cellulosilyticum,Alphaproteobacteria_sp,Tardiphaga_robiniae,Burkholderia_rhynchosiae,Mesorhizobium_gobiense,Mesorhizobium_meliloti,Paracoccus_halophilus,Sphinogomonas_pruni,Inguilinus_limosus,Pseudomonas_fluorescense,Serratia_plymuthica,Mycobacterium_sacrum,Nocardia_uniformis,Streptomyces_bottropensis,Paenibacillus_amylolyticus,Brevibacillus_borstelenis,Lysinibacillus_fusiformis,Bacillus_safensis,Bacillus_licheniformis,Bacillus_cereus,Bacillus_pumilus,Staphylococcus_saprophyticus,Ensifer_meliloti,Ensifer_medicae,Bradyrhizobium_liaoningense,Rhizobium_trifolii,Aminobacter_aminovorans,Ensifer_fredii,Ensifer_numidicus,Acinetobacter_sp,Ensifer_garamanticus,Agrobacterium_rubi,Mesorhizobium_kuakuii,Mesorhizobium_camelthorni,Mesorhizobium_tarimense,Rhizobium_rhizogenes,Ensifer_morelense,Ensifer_adhaerens,Ensifer_aboris,Bradyrhizobium_genospecies_BT,Rhizobium_genospecies_RT,Devosia_neptuniae,Herbaspirillum_frisingense,Pseudomonas_putida,Pseudomonas_sp,Paenibacillus_agarexedens,Paenibacillus_glycanilyticus,Paenibacillus_pabuli,Bacillus_senegalensis,Brevibacillus_brevis,Caulobacter_vibrioides,Enterobacteriaceae_sp,Microbacterium_flavescens,Microbacterium_trichothecenolyticum,Variovorax_paradoxus,Variovorax_sp,Acinetobacter_haemolyticus,Ancylobacter_sp,Arthrobacter_sp,Chitinophaga_sancti,Comamonas_testosteroni,Kaistia_sp,Mycobacterium_fredriksbergense,Roseateles_depolymerans,Stenotrophomonas_maltophilia,Methylobacterium_nodulans,Azospirillum_brasilense,Bradyrhizobium_sp_(Lupinus),Stenotrophomonas_sp,Methylobacterium bullatum,Allorhizobium_undicola,Paenibacillus_sepulcri,Sinorhizobium_americanum,Sinorhizobium_americanus,Shinella_sp,Ensifer_kostiense,Ensifer_xinjiangense,Rhizobium_yanglingense,Shinella_kummerowiae,Agrobacterium_vitis,Ensifer_mexicanus,Mesorhizobium_chacoense,Mesorhizobium_albiziae,Mesorhizobium_shangrilense,Burkholderia_cepacia,Rhizobium_alkalisoli,Burkholderia_aspalathi,Sinorhizobium_saheli,Rhizobium_loti,Sinorhizobium_indiaense,Sinorhizobium_abri,Dyella_so,Microbacterium_sp,Staphylococcus_sp,Rhizobium_helanshanense,Pseudoalteromonas_sp,Ralstonia_picketti,Rhizobium_sphaerophysae,Kocuria_sp,starkeya_sp,Rhizobium_vignae,Rhizobium_herbae,Phylloacterium_leguminum,Bosea_eneae,Sinorhizobium_chiapanecum,Sinorhizobium_mexicanum,Rhizobium_calliandrae,Rhizobium_jaguaris,Rhizobium_mayense,Ensifer_terangae,Bradyrhizobium_jicamae,Bradyrhizobium_arachidis,Bradyrhizobium_lablabi,Rhizbium_tumefaciens,Rhizobium_meliloti,Rhizobium_kunmingense,Burkholderia_symbiotica,Agrobacterum_rhizogenes,Klebsiella_sp,Sinorhizobium_arboris,Mesorhizobium_metallidurans,Sinorhizobium_morelense,Salmonella_sp,Citrobacter_sp,Erwinia_sp,Rhizobium_indigoferae,Rhizobium_qilianshanense,Rhizobium_taibaishanense,Mesorhizobium_sangaii,Mesorhizobium_robiniae,Mitsuaria_sp,
79,De Meyer et al,2011,Lotus,corniculatus,Lotus_corniculatus,1,1,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,1,1,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Lotus,pedunculatus,Lotus_pedunculatus,1,,1,native,Belgium,EU,0,1,1,1,0,0,0,0,0,0,1,1,23,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Medicago,arabica,Medicago_arabica,1,,1,native,Belgium,EU,1,1,1,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Medicago,falcata,Medicago_falcata,1,,1,native,Belgium,EU,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Medicago,lupulina,Medicago_lupulina,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,1,1,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Melilotus,indicus,Melilotus_indicus,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Melilotus,officinalis,Melilotus_officinalis,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Ononis,repens,Ononis_repens,1,,0,native,Belgium,EU,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Ononis,spinosa,Ononis_spinosa,1,,0,native,Belgium,EU,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Ornithopus,perpusillus,Ornithopus_perpusillus,1,,1,native,Belgium,EU,0,1,1,0,1,0,0,0,0,1,1,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,arvense,Trifolium_arvense,1,,1,native,Belgium,EU,1,1,1,1,0,1,0,0,0,1,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,campestre,Trifolium_campestre,1,,1,native,Belgium,EU,1,1,1,1,1,1,1,0,0,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,dubium,Trifolium_dubium,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,0,1,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,fragiferum,Trifolium_fragiferum,1,,1,native,Belgium,EU,1,1,1,1,0,0,0,0,0,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,pratense,Trifolium_pratense,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,1,1,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Trifolium,repens,Trifolium_repens,1,,1,native,Belgium,EU,1,1,1,1,0,1,0,0,0,1,1,1,36,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,De Meyer et al,2011,Ulex,europaeus,Ulex_europaeus,1,,1,native,Belgium,EU,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
